工作地區,公司規模,產業類別,職務類別,需求技能數量,學歷要求,薪資區間
107,35,116,5,0.0,5,1
102,130,37,5,0.2,4,0
54,1300,46,5,0.0,3,0
102,8,78,5,0.30000000000000004,5,1
119,15,19,5,0.0,3,0
123,1100,48,5,0.30000000000000004,4,1
119,30,51,5,0.30000000000000004,1,0
103,180,172,5,1.0,4,2
38,20,121,5,0.0,5,0
92,90,37,5,0.0,3,1
119,150,173,5,0.6000000000000001,5,0
132,38,46,5,0.0,3,0
124,15,42,5,0.0,3,1
10,250,102,5,0.30000000000000004,3,0
104,35,43,5,0.0,4,0
127,25,114,5,0.5,5,1
101,90,39,5,0.2,5,2
33,90,172,5,0.8,4,2
111,0,48,5,0.1,4,1
40,10,38,5,0.30000000000000004,4,0
127,50,172,5,0.7000000000000001,5,1
11,120,114,5,0.0,5,0
138,75,53,5,0.5,5,0
138,40,81,5,0.0,4,1
119,10,39,5,0.0,3,1
10,400,51,5,0.6000000000000001,4,1
124,25,173,5,0.9,5,1
109,13,172,5,0.6000000000000001,3,1
54,80,46,5,0.0,3,1
127,0,39,5,0.7000000000000001,5,0
119,150,127,5,0.2,3,1
30,60,173,5,0.4,4,2
113,35,39,18,0.0,3,0
31,180,173,18,0.0,5,1
33,200,173,18,0.0,4,2
106,120,166,18,0.6000000000000001,3,2
26,0,173,18,0.30000000000000004,3,0
107,188,14,18,0.2,5,1
133,20,172,18,0.5,4,0
33,200,173,18,0.30000000000000004,4,0
32,100,42,18,0.7000000000000001,5,2
108,35,173,18,0.5,4,1
33,200,173,18,0.0,5,2
102,70,172,18,0.4,3,2
33,20,173,18,0.0,5,2
124,0,69,18,0.1,5,2
164,0,127,18,0.2,3,0
33,200,173,18,0.30000000000000004,5,1
38,30,173,18,0.6000000000000001,4,2
40,7,173,18,0.30000000000000004,5,1
164,10,127,18,0.1,4,0
7,7,42,18,0.0,5,1
31,45,173,18,0.4,4,2
33,200,173,18,0.30000000000000004,5,2
103,8,127,18,0.2,3,1
113,13000,173,18,0.1,5,0
26,12,61,18,0.4,4,0
146,0,127,18,1.0,5,1
38,15,35,18,0.2,5,2
7,7,42,18,0.0,5,0
127,170,127,18,0.6000000000000001,4,1
112,0,173,18,0.7000000000000001,3,0
103,0,173,18,0.0,5,2
35,0,69,18,0.0,5,2
33,80,120,18,0.0,5,2
106,200,87,18,0.4,3,0
40,0,173,18,0.7000000000000001,5,2
37,20,173,18,0.0,3,0
13,45,78,18,0.4,4,2
54,50,172,18,0.30000000000000004,3,1
46,0,171,18,0.4,3,0
40,0,42,18,1.0,4,1
113,98,172,18,0.30000000000000004,3,1
26,30,121,18,0.6000000000000001,4,1
40,60,173,18,0.0,5,0
30,48,173,18,0.1,5,0
127,0,42,18,0.30000000000000004,5,1
159,3000,31,18,0.1,4,1
133,20,172,18,0.6000000000000001,4,1
33,115,148,18,0.0,4,1
8,500,182,18,0.0,4,1
31,0,173,18,0.0,5,1
103,13,173,18,0.5,3,0
131,150,39,18,0.30000000000000004,3,2
124,20,0,18,0.1,5,2
104,3600,96,18,0.4,3,2
30,8,173,18,0.4,5,2
33,30,42,18,0.7000000000000001,4,1
138,0,173,18,0.7000000000000001,5,2
31,3583,182,18,0.0,5,2
119,150,173,18,1.0,5,0
121,0,14,18,0.30000000000000004,5,2
30,250,173,18,0.2,5,0
108,0,166,18,0.7000000000000001,5,1
33,200,173,18,0.0,4,2
32,20,173,18,0.0,5,2
30,48,42,18,0.4,5,2
123,40,19,18,0.5,5,2
41,40,173,18,0.8,5,1
106,95,151,18,0.2,4,1
54,13000,173,18,0.0,5,0
109,20,173,18,0.0,4,0
119,13000,173,18,0.0,5,0
133,25,173,18,0.6000000000000001,3,2
113,130,102,18,0.30000000000000004,5,1
51,5,173,18,0.2,5,0
33,20,173,18,0.0,5,2
156,40,155,12,0.0,5,0
124,330,19,12,0.0,3,0
103,30,172,12,0.6000000000000001,5,0
133,0,173,12,0.0,5,2
113,50,105,12,0.30000000000000004,5,2
119,1000,46,12,0.4,4,2
119,0,46,12,0.7000000000000001,5,2
54,70,39,12,0.0,3,1
107,19,146,12,0.0,5,2
14,0,3,12,0.0,4,2
119,70,19,12,0.0,5,1
136,70,53,12,0.0,5,0
137,0,171,12,0.4,5,1
4,0,149,12,0.0,5,0
33,77,173,12,0.0,3,1
26,0,173,12,0.7000000000000001,3,0
138,22,172,12,0.30000000000000004,3,1
82,1400,51,12,0.30000000000000004,3,0
38,0,70,12,0.0,5,0
33,90,172,12,0.0,3,0
102,40,127,12,0.0,5,2
34,0,13,12,0.0,3,0
155,80,27,12,0.5,2,1
168,8,148,12,0.5,4,0
123,299,171,12,0.0,4,1
30,600,155,12,0.0,3,0
168,8,148,12,0.5,4,2
34,0,171,12,0.0,4,0
35,0,3,12,0.0,4,1
119,0,39,12,0.6000000000000001,4,2
160,400,34,12,0.0,4,0
33,350,46,12,0.30000000000000004,3,1
9,2900,149,12,0.0,4,0
113,13,168,12,0.8,5,1
153,0,70,12,0.30000000000000004,5,1
172,0,105,12,0.0,4,0
33,45,39,12,0.2,4,0
26,3,70,12,0.0,5,0
102,15,42,12,0.0,5,1
127,40,171,12,0.0,5,1
25,0,111,12,0.0,3,0
102,73,105,12,0.4,4,1
32,0,129,12,0.0,3,0
124,3200,171,12,0.0,4,0
62,180,149,12,0.1,5,1
103,70,105,12,0.1,4,2
107,580,171,12,0.0,5,0
26,160,39,12,0.6000000000000001,4,1
26,60,25,11,0.2,5,0
156,85,145,11,0.2,4,1
67,280,151,11,0.2,5,0
105,10,166,11,0.30000000000000004,3,1
106,95,151,11,0.0,3,1
171,480,127,11,0.0,3,0
113,0,66,11,0.0,4,1
26,127,151,11,0.0,5,0
10,235,127,11,0.5,3,0
123,30,166,11,0.2,2,1
2,50,127,11,0.7000000000000001,4,0
15,100,166,11,0.0,3,0
26,250,166,11,0.4,5,0
127,15,93,11,0.2,3,2
127,1300,166,11,0.2,3,0
127,1300,166,11,0.0,4,0
59,50,25,11,0.6000000000000001,4,1
49,150,25,11,0.0,5,0
138,140,40,11,0.0,1,0
138,41,78,11,0.0,3,1
49,30,25,11,0.0,1,0
23,50,66,11,0.30000000000000004,5,1
108,20,166,11,0.2,3,2
156,30,166,11,0.0,3,1
113,180,127,11,0.5,4,1
23,100,166,11,0.0,3,0
23,0,92,11,0.0,5,0
59,60,145,11,0.30000000000000004,5,0
36,80,66,11,0.2,5,1
25,0,25,11,0.6000000000000001,3,1
27,75,166,11,0.0,5,1
155,180,127,11,0.4,4,1
108,28,166,11,0.0,5,1
135,180,66,11,0.0,5,0
89,30,66,11,0.0,5,0
33,35,120,11,0.30000000000000004,3,1
10,25,66,11,0.0,5,0
138,12000,136,11,0.30000000000000004,3,1
67,280,151,11,0.5,5,0
23,50,66,11,0.5,4,0
10,100,145,11,0.30000000000000004,4,1
138,0,66,11,0.30000000000000004,4,0
27,25,25,11,0.4,5,0
127,1400,102,11,0.0,4,2
135,45,127,11,0.2,5,0
62,280,151,11,0.0,3,0
24,40,66,11,0.0,5,1
24,700,66,11,0.1,3,0
119,0,145,11,0.0,5,1
128,25,116,11,0.0,3,0
24,700,66,11,0.0,1,0
127,1300,166,11,0.2,3,1
24,24,66,11,0.0,3,1
138,15,166,11,0.0,5,1
91,85,66,11,0.0,5,0
16,50,166,11,0.0,5,0
25,11,166,11,0.30000000000000004,3,0
124,15,151,11,0.7000000000000001,4,2
65,50,166,11,0.0,2,0
14,72,25,11,0.0,3,0
26,330,145,11,0.0,3,0
90,16,25,11,0.2,3,0
23,50,66,11,0.30000000000000004,3,1
35,480,127,11,0.4,4,1
137,22,166,11,0.0,5,0
10,0,166,11,0.0,5,0
156,0,66,11,0.0,5,0
127,1400,102,11,0.5,4,0
138,0,66,11,0.0,5,1
26,60,66,11,0.5,3,1
19,30,66,11,0.4,5,1
23,50,66,11,0.5,4,0
138,70,127,11,0.0,4,0
16,30,25,11,0.0,3,0
105,97,25,11,0.0,5,0
65,0,34,11,0.0,5,0
49,40,145,11,0.30000000000000004,4,0
127,1400,102,11,0.0,4,0
52,45,166,11,0.5,2,1
172,20,27,11,0.5,5,1
23,0,92,11,0.0,5,0
168,1300,166,11,0.1,3,1
158,0,145,11,0.0,3,1
147,8,92,11,0.4,5,0
24,40,66,11,0.0,3,1
11,900,66,11,0.30000000000000004,4,1
23,25,92,11,0.0,4,0
26,330,145,11,0.30000000000000004,3,0
135,30,166,11,0.2,3,1
127,1300,166,11,0.0,3,0
102,150,34,11,0.2,3,0
127,1300,166,11,0.1,3,0
153,15,160,11,0.0,4,0
26,180,166,11,0.2,4,0
11,900,66,11,0.6000000000000001,4,1
104,20,166,11,0.1,2,0
67,280,151,11,0.30000000000000004,3,0
89,10,151,11,0.0,3,0
54,90,66,11,0.0,5,0
16,35,66,11,0.0,5,1
138,0,66,11,0.0,4,0
11,900,66,11,0.2,4,1
28,60,66,11,0.30000000000000004,5,1
59,180,66,11,0.30000000000000004,4,1
28,50,66,11,0.0,3,0
58,0,34,11,0.0,5,0
49,150,25,11,0.0,5,0
15,16,166,11,0.2,4,2
106,95,151,11,0.2,4,1
156,60,25,11,0.0,2,0
159,280,151,11,0.2,2,1
91,85,66,11,0.8,5,1
156,0,66,11,0.0,5,0
138,750,66,11,0.0,4,0
59,0,34,11,0.0,5,0
22,25,166,11,0.0,3,0
23,50,66,11,0.6000000000000001,4,1
18,40,66,11,0.6000000000000001,3,0
156,100,160,11,0.4,4,0
102,30,166,11,0.2,4,1
138,120,25,11,0.0,3,0
24,50,166,11,0.0,5,0
119,80,77,11,0.0,2,0
138,30,166,11,0.0,3,1
16,50,166,11,0.30000000000000004,5,1
49,40,145,11,0.30000000000000004,3,0
168,50,25,11,0.0,3,0
64,65,66,11,0.0,2,1
123,200,45,11,0.0,3,0
54,90,66,11,0.2,5,0
24,14,166,11,0.0,3,0
43,80,66,11,0.0,3,0
127,1300,166,11,0.0,3,1
84,30,166,11,0.0,3,1
24,0,25,11,0.2,5,1
138,2500,166,11,0.4,5,1
135,13,34,11,0.0,5,1
12,200,145,11,0.4,5,0
15,180,151,11,0.0,5,0
167,200,66,11,0.0,5,0
128,30,127,11,0.2,3,1
130,3,127,19,0.0,3,1
54,70,19,19,0.0,4,1
155,30,166,19,0.5,4,2
153,21,115,19,0.0,5,1
59,0,127,19,0.0,3,0
169,700,166,19,0.4,4,0
138,5,127,19,0.0,3,1
40,13,114,19,0.8,4,1
111,0,127,19,0.1,3,2
109,35,127,19,0.0,5,1
40,13,114,19,0.8,4,1
47,700,166,19,0.0,4,1
153,110,171,19,0.0,5,0
137,1400,102,19,0.30000000000000004,4,0
159,3000,31,19,0.0,3,1
134,400,162,19,0.2,3,1
138,12000,136,19,0.30000000000000004,3,1
108,700,166,19,0.0,3,0
54,12,127,19,0.0,5,1
136,230,166,19,0.0,3,0
35,1600,166,19,0.0,4,2
153,110,171,19,0.0,5,0
74,65,25,19,0.0,3,0
138,90,53,19,0.2,3,1
54,50,25,19,0.1,3,1
111,0,166,19,0.0,3,1
103,18,120,19,0.0,3,0
35,700,166,19,0.5,3,0
125,250,162,19,0.2,3,0
174,0,111,19,0.4,5,0
134,700,166,19,0.0,3,1
10,400,51,19,0.6000000000000001,4,1
88,100,149,19,0.0,5,1
159,170,32,19,0.0,5,1
137,1400,102,19,0.30000000000000004,4,1
168,2800,160,19,0.0,4,0
108,700,166,19,0.30000000000000004,3,0
75,50,27,19,0.0,2,0
109,35,127,19,0.0,5,1
134,700,166,19,0.1,3,0
111,10,166,19,0.0,3,0
129,4000,166,19,0.30000000000000004,5,1
35,1600,166,19,0.30000000000000004,4,1
153,30,166,19,0.0,3,0
30,25,127,19,0.0,5,0
171,30,166,19,0.0,5,0
136,1600,166,19,0.0,4,1
92,250,119,19,0.0,3,1
54,50,25,19,0.0,3,1
49,50,178,19,0.0,5,0
11,4000,166,19,0.0,5,2
159,0,114,19,0.0,5,0
155,30,166,19,0.8,5,1
111,3,127,19,0.4,3,0
38,20,165,19,0.5,5,2
49,0,114,19,0.5,3,0
45,4,165,19,0.5,4,1
15,700,166,19,0.0,4,1
23,40,166,19,0.0,3,0
115,60,39,19,0.0,3,1
170,4000,166,19,0.0,5,2
29,80,165,19,0.0,3,0
19,50,13,19,0.6000000000000001,5,0
135,13,34,19,0.0,5,1
172,30,166,19,0.8,4,1
59,0,161,19,0.0,4,1
169,700,166,19,0.30000000000000004,3,0
138,120,25,19,0.0,4,0
148,70,38,19,0.30000000000000004,4,1
103,42,166,19,0.0,4,0
98,0,166,19,0.0,4,1
47,70,25,19,0.0,5,1
155,30,166,19,0.8,3,1
134,700,166,19,0.30000000000000004,3,0
129,4000,166,19,0.30000000000000004,5,1
35,2500,166,19,0.0,4,1
59,0,127,19,0.0,3,0
2,320,160,19,0.0,4,1
123,4000,166,19,0.30000000000000004,4,1
155,350,114,19,0.0,2,1
35,2500,166,19,0.30000000000000004,5,0
137,2500,166,19,0.2,4,1
155,30,166,19,0.4,4,1
127,138,130,19,0.0,3,1
156,200,145,19,0.30000000000000004,5,0
137,13,14,19,0.2,5,1
123,4000,166,19,0.0,4,0
46,14,14,19,0.0,3,1
142,70,25,19,0.1,5,0
137,1400,102,19,0.30000000000000004,3,0
112,16,166,19,0.4,3,1
127,39,66,19,0.1,4,1
123,4000,166,19,0.0,4,1
152,120,166,19,0.0,3,0
137,1400,102,19,0.5,4,1
15,30,166,19,0.0,5,0
54,36,33,19,0.0,3,1
58,30,127,19,0.4,4,1
19,10000,25,19,0.0,3,1
135,40,34,19,0.0,5,1
34,200,145,19,0.30000000000000004,5,0
144,35,25,19,0.0,5,1
134,700,166,19,0.30000000000000004,3,0
111,0,166,19,0.2,5,1
26,28,120,19,0.0,4,1
36,4000,166,19,0.4,5,1
30,250,69,19,0.0,4,1
35,700,166,19,0.2,5,1
152,430,76,19,0.0,4,0
103,90,142,19,0.2,5,1
26,93,14,19,0.4,3,1
123,2500,166,19,0.2,3,0
108,75,145,19,0.2,5,1
47,25,127,19,0.0,3,0
156,0,66,19,0.0,5,0
108,700,166,19,0.0,4,1
105,280,12,19,0.0,3,1
108,700,166,19,0.2,3,0
34,48,166,19,0.1,3,0
137,1400,102,19,0.5,4,1
137,20,115,19,0.1,5,2
133,20,76,19,0.0,5,1
108,700,166,19,0.0,4,0
92,35,114,19,0.2,3,0
157,1900,118,19,0.1,3,0
8,10,168,19,0.4,3,1
137,1400,102,19,0.2,4,1
106,30,114,19,0.0,1,0
136,97,53,3,0.0,5,2
97,480,45,3,0.0,3,1
127,50,18,3,0.6000000000000001,5,1
159,1000,50,3,0.0,5,1
153,60,166,3,0.1,5,2
166,480,45,3,0.0,3,1
119,150,127,3,0.30000000000000004,4,1
136,200,50,3,0.0,4,2
155,5000,45,3,0.0,3,0
158,1000,50,3,0.0,5,1
166,480,45,3,0.1,3,0
129,1250,45,3,0.0,3,0
136,1250,45,3,0.0,3,0
164,13,75,3,0.0,5,0
133,35,135,3,0.0,2,1
166,480,45,3,0.0,4,1
10,400,45,3,0.0,4,0
26,36,116,3,0.0,4,1
166,480,45,3,0.0,3,1
49,150,127,3,0.30000000000000004,4,1
19,680,18,3,0.0,5,1
47,400,45,3,0.0,3,1
97,480,45,3,0.0,3,1
47,400,45,3,0.0,2,0
166,480,45,3,0.0,5,1
163,5000,45,3,0.0,3,0
163,300,27,3,0.0,3,0
38,75,73,3,0.8,3,0
163,220,45,3,0.4,5,1
131,20,44,3,0.2,4,2
139,200,44,3,0.0,1,0
135,140,45,3,0.0,5,1
144,700,53,3,0.4,4,0
153,390,53,3,0.30000000000000004,4,0
166,480,45,3,0.0,4,1
115,13,148,3,0.30000000000000004,3,0
32,20,179,3,0.0,4,1
139,200,44,3,0.30000000000000004,1,0
144,200,44,3,0.30000000000000004,5,0
57,400,45,3,0.0,3,0
135,35,27,3,0.4,4,0
119,40,14,3,0.4,4,0
97,480,45,3,0.0,3,1
112,0,69,3,0.0,5,1
166,480,45,3,0.0,3,1
158,700,50,3,0.0,4,1
62,20,44,3,0.30000000000000004,4,1
159,0,54,3,0.0,5,0
81,20,18,3,0.0,5,2
144,200,44,3,0.0,3,0
144,30,116,3,0.30000000000000004,5,2
123,32,45,3,0.30000000000000004,3,0
166,480,45,3,0.2,4,0
148,135000,175,3,0.0,5,0
135,900,133,3,0.0,4,1
35,680,18,3,0.1,5,0
40,60,121,3,0.4,5,0
144,200,44,3,0.5,3,1
36,0,3,3,0.0,4,1
111,11671,53,3,0.0,4,1
160,17,45,3,0.4,4,1
163,300,27,3,0.0,3,0
151,20,25,3,0.0,5,0
163,1000,45,3,0.0,3,1
59,100,45,3,0.4,5,1
148,1000,50,3,0.4,5,1
27,300,155,3,0.4,3,2
132,38,46,3,0.0,3,0
34,0,44,3,0.0,4,1
57,400,45,3,0.0,3,0
141,200,14,3,0.0,4,0
52,100,50,3,0.0,4,0
158,1000,45,3,0.0,3,1
35,200,44,3,0.30000000000000004,5,1
75,400,45,3,0.30000000000000004,5,0
47,400,45,3,0.0,3,0
158,130,45,3,0.0,3,1
20,1500,175,3,0.0,4,0
69,80,45,3,0.2,4,0
33,20,148,3,0.0,3,0
153,0,14,3,0.4,5,2
119,200,46,3,0.30000000000000004,5,2
153,390,53,3,0.0,4,1
136,38,45,3,0.30000000000000004,3,1
32,0,42,3,0.0,5,1
33,50,69,3,0.4,5,1
136,1250,45,3,0.0,4,1
97,480,45,3,0.0,3,0
136,0,108,3,0.30000000000000004,5,0
163,300,27,3,0.1,4,1
153,5000,45,3,0.4,3,0
159,480,45,3,0.0,3,1
159,5000,45,3,0.0,3,0
97,50,44,3,0.0,5,0
134,55,99,3,0.0,4,1
136,133,45,3,0.0,5,1
123,120,45,3,0.0,3,0
163,5000,45,3,0.0,3,0
81,50,151,3,0.30000000000000004,5,2
122,11,127,3,0.1,3,0
136,1250,45,3,0.0,3,0
26,48,18,3,0.0,3,1
159,0,54,3,0.0,3,0
122,180,34,3,0.0,5,2
160,34,45,3,0.0,5,0
19,50,44,3,0.0,2,0
131,50,108,3,0.0,3,0
166,480,45,3,0.0,3,1
159,480,45,3,0.0,3,1
56,300,27,3,0.0,3,0
135,200,45,3,0.30000000000000004,4,1
16,12,179,14,0.2,3,2
119,8,147,14,0.0,5,2
31,9,70,14,0.1,3,1
109,150,70,14,0.30000000000000004,5,0
26,12,42,14,0.6000000000000001,3,0
41,10,70,14,0.4,5,1
26,12,42,14,0.6000000000000001,3,0
108,15,120,14,0.30000000000000004,5,0
31,30,70,14,0.2,5,1
18,40,66,14,0.6000000000000001,3,0
37,25,121,14,0.30000000000000004,4,0
38,200,177,14,0.4,5,0
40,20,1,14,0.9,5,0
13,80,182,14,0.6000000000000001,5,0
38,20,70,14,0.30000000000000004,3,0
40,43,87,14,0.30000000000000004,3,0
32,100,121,14,0.30000000000000004,5,1
7,15,70,14,0.5,5,2
134,40,150,14,0.0,5,0
30,0,70,14,0.30000000000000004,3,0
107,10,70,14,0.30000000000000004,4,0
119,40,70,14,0.0,4,1
30,60,70,14,0.6000000000000001,4,0
124,0,76,14,0.0,4,0
102,12,173,14,0.4,3,0
26,0,179,14,0.2,3,1
31,13,121,14,0.4,5,2
45,0,111,14,0.0,5,2
113,130,178,14,0.0,4,0
40,20,121,14,1.0,4,0
120,120,46,14,0.30000000000000004,3,0
8,30,70,14,0.0,4,2
26,0,70,14,0.1,5,1
42,11,70,14,0.1,5,1
38,50,80,14,0.0,5,1
37,32,173,14,0.0,5,1
37,5,36,14,0.5,3,0
40,220,134,14,0.5,4,1
25,0,70,14,0.0,3,0
33,40,120,14,0.0,3,1
30,12,70,14,0.4,5,0
37,8,179,14,0.30000000000000004,3,1
30,500,84,14,0.6000000000000001,5,1
37,14,121,14,0.30000000000000004,3,0
109,12,134,14,0.2,5,0
109,0,55,14,0.0,5,0
25,9,55,14,0.0,5,0
142,0,178,14,0.2,5,0
25,0,70,14,0.2,4,1
33,80,172,14,0.0,3,0
127,125,65,14,0.0,5,0
110,0,111,14,0.8,5,1
127,123,70,14,0.0,5,0
135,120,74,14,0.5,3,0
25,0,173,14,0.30000000000000004,5,0
171,10,70,14,0.0,5,1
33,20,177,14,0.0,5,2
5,46,166,14,0.4,4,0
38,9,23,14,0.30000000000000004,5,0
108,17,169,14,0.30000000000000004,4,1
35,50,70,14,0.4,3,1
37,8,179,14,0.30000000000000004,3,1
30,10,70,14,0.4,5,0
31,30,139,14,0.5,5,2
124,5,69,14,0.2,5,0
152,10,70,14,0.1,5,2
16,50,102,14,0.4,3,0
49,0,21,14,0.30000000000000004,4,0
40,30,177,14,1.0,5,1
40,200,171,14,0.0,4,1
107,8,120,14,0.8,4,1
40,13,42,14,0.0,5,0
56,12,70,14,0.4,5,0
37,8,179,14,0.30000000000000004,3,1
108,11,70,14,0.1,5,1
113,0,70,14,0.2,3,0
161,0,127,14,0.4,2,1
30,50,6,14,0.30000000000000004,5,1
153,50,102,14,0.30000000000000004,3,0
30,7,24,14,0.0,5,0
30,160,84,14,0.0,4,0
30,10,120,14,0.0,5,2
31,12,67,14,0.5,4,1
115,9,70,14,0.30000000000000004,5,0
134,40,150,14,0.0,5,0
127,120,37,14,0.5,5,1
109,8,147,14,0.5,4,0
33,29,139,14,0.0,3,0
103,8,120,14,0.1,5,1
103,15,70,14,0.4,5,0
31,9,70,14,0.0,3,0
30,9,147,14,0.0,5,0
37,25,121,14,0.30000000000000004,4,0
25,0,121,14,0.1,4,1
30,25,70,14,0.4,5,1
10,25,39,14,0.8,5,0
8,4,135,14,0.8,5,0
37,8,179,14,0.30000000000000004,3,1
35,50,70,14,0.0,5,2
169,20,35,14,0.0,3,1
30,10,69,14,0.30000000000000004,5,1
32,20,1,14,0.5,4,1
38,15,143,14,0.0,4,1
108,11,70,14,0.30000000000000004,5,0
33,138,21,14,0.4,5,0
38,200,70,14,0.4,5,1
40,34,14,14,0.4,5,1
26,10,21,14,0.30000000000000004,4,1
25,40,70,14,0.5,5,1
26,0,179,14,0.0,4,1
31,35,36,14,0.6000000000000001,5,2
31,15,82,10,0.0,5,0
92,8,99,10,0.4,5,1
35,0,121,10,0.0,4,0
108,20,53,10,0.4,5,0
94,0,118,10,0.0,5,0
32,30,173,10,0.5,4,0
102,3,178,10,0.30000000000000004,5,0
23,0,153,10,0.1,5,1
40,10,148,10,0.30000000000000004,5,2
37,5,92,10,0.7000000000000001,4,2
128,20,173,10,0.8,2,0
108,30,127,10,0.4,5,1
102,7,63,10,0.5,3,0
109,38,120,10,0.1,5,0
133,300,141,10,0.0,5,0
102,55,62,10,0.0,5,2
138,40,20,10,0.0,5,1
124,7,19,10,0.4,4,1
102,20,106,10,0.2,3,1
40,20,36,10,0.0,5,0
111,60,40,10,0.2,5,1
30,0,139,10,0.4,4,0
102,5,116,10,0.5,4,0
30,100,12,10,0.30000000000000004,5,1
40,60,173,10,0.4,4,0
26,0,181,10,0.0,5,1
161,0,35,10,0.0,5,2
115,0,21,10,0.7000000000000001,5,0
34,10,21,10,0.0,3,0
111,30,151,10,0.30000000000000004,3,0
32,0,120,10,0.0,5,0
117,12,134,10,0.4,5,0
110,0,111,10,0.0,5,2
33,45,121,10,0.4,3,0
103,65,39,10,0.6000000000000001,4,0
15,0,39,10,0.5,3,0
46,14,14,10,0.4,4,0
113,0,96,10,0.0,3,1
113,0,33,10,0.4,5,0
26,100,182,10,0.6000000000000001,4,0
99,20,34,10,0.0,5,0
103,45,102,10,0.4,5,0
133,200,5,10,0.0,5,2
10,0,28,10,0.8,5,1
106,120,34,10,0.5,3,0
174,15,138,10,0.30000000000000004,5,2
106,0,179,10,0.0,5,1
103,50,105,10,0.6000000000000001,3,0
107,30,87,10,0.4,3,0
161,30,120,10,0.5,5,0
135,24,120,10,0.5,3,0
26,25,33,10,0.30000000000000004,5,0
103,98,166,10,0.4,3,0
37,0,5,10,0.0,5,2
99,20,53,10,0.2,5,0
33,22,148,10,0.0,3,0
30,800,158,10,0.0,4,0
133,175,9,10,0.0,5,1
155,15,45,10,0.0,3,0
135,0,120,10,0.2,3,0
119,0,37,10,0.30000000000000004,3,0
119,20,42,10,0.9,3,1
107,30,39,10,0.0,5,1
31,6,35,10,0.0,5,2
103,30,39,10,0.5,3,0
19,27,27,10,0.7000000000000001,3,0
102,40,29,10,0.4,5,1
138,30,148,10,0.30000000000000004,4,1
33,12,46,10,0.0,3,0
33,0,105,10,0.0,3,2
113,110,33,10,0.30000000000000004,2,0
33,12,120,10,0.0,5,1
33,0,121,10,0.0,4,1
26,200,166,10,0.0,4,1
32,10,1,10,0.30000000000000004,4,2
174,50,78,10,0.30000000000000004,3,0
100,12,45,10,0.0,1,0
103,0,63,10,0.5,3,1
31,30,177,10,0.4,3,0
60,100,179,10,0.30000000000000004,2,0
161,162,116,10,0.0,5,1
124,20,120,10,0.2,5,1
152,0,35,10,0.0,5,2
121,10,19,10,0.2,2,1
25,20,33,10,0.5,4,0
80,0,35,10,0.0,5,2
103,24,109,10,0.30000000000000004,3,0
86,20,64,10,0.0,4,0
106,800,39,10,0.30000000000000004,3,0
32,120,42,10,0.4,3,0
33,28,19,10,0.0,4,0
133,0,114,10,0.2,5,1
69,0,167,10,0.1,5,0
40,10,148,10,0.4,5,1
